dataset,building,num_windows,smoothness_violation_mean_mean,smoothness_violation_mean_std,smoothness_violation_mean_median,smoothness_violation_mean_min,smoothness_violation_mean_max,smoothness_violation_max_mean,smoothness_violation_max_std,smoothness_violation_max_median,smoothness_violation_max_min,smoothness_violation_max_max,smoothness_violation_std_mean,smoothness_violation_std_std,smoothness_violation_std_median,smoothness_violation_std_min,smoothness_violation_std_max,max_gradient_mean,max_gradient_std,max_gradient_median,max_gradient_min,max_gradient_max,mean_gradient_mean,mean_gradient_std,mean_gradient_median,mean_gradient_min,mean_gradient_max,std_gradient_mean,std_gradient_std,std_gradient_median,std_gradient_min,std_gradient_max,gradient_violations_severe_mean,gradient_violations_severe_std,gradient_violations_severe_median,gradient_violations_severe_min,gradient_violations_severe_max,gradient_violations_moderate_mean,gradient_violations_moderate_std,gradient_violations_moderate_median,gradient_violations_moderate_min,gradient_violations_moderate_max,gradient_violation_rate_severe_mean,gradient_violation_rate_severe_std,gradient_violation_rate_severe_median,gradient_violation_rate_severe_min,gradient_violation_rate_severe_max,gradient_violation_rate_moderate_mean,gradient_violation_rate_moderate_std,gradient_violation_rate_moderate_median,gradient_violation_rate_moderate_min,gradient_violation_rate_moderate_max,negative_count_mean,negative_count_std,negative_count_median,negative_count_min,negative_count_max,negative_energy_total_mean,negative_energy_total_std,negative_energy_total_median,negative_energy_total_min,negative_energy_total_max,negative_fraction_mean,negative_fraction_std,negative_fraction_median,negative_fraction_min,negative_fraction_max,negative_max_magnitude_mean,negative_max_magnitude_std,negative_max_magnitude_median,negative_max_magnitude_min,negative_max_magnitude_max
ideal,home245,35,0.14087810083079708,0.030048218012552173,0.1371524434838417,0.08114145870691024,0.22365817694950155,0.5383977007314279,0.183880130844322,0.5313331901227094,0.20467363850279952,0.9455807456470511,0.1367889026975275,0.0416817501037285,0.1271838824857234,0.058141166729445276,0.22867438358470565,0.967693169934589,0.2733027788055728,0.8826015744348321,0.5150246357876956,1.6238705720564737,0.26448402765152457,0.03685823808491436,0.2622850966220021,0.16865732405975048,0.3370112318684006,0.2469980211822286,0.05447100700739419,0.24271156823403783,0.13786777611241907,0.36424470897103595,3.6,1.4382529084175106,3.0,1,6,7.742857142857143,1.8101753213093894,8.0,4,11,0.1565217391304348,0.06253273514858743,0.13043478260869565,0.043478260869565216,0.2608695652173913,0.3366459627329193,0.07870327483953868,0.34782608695652173,0.17391304347826086,0.4782608695652174,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home243,46,0.09036010092552925,0.021179795369990633,0.08761915048945373,0.04867616952785927,0.16393295189972112,0.41440655581708424,0.16498683687182394,0.40374262271760725,0.1548593636556176,0.9853057555430403,0.09676418540526137,0.034048528575027666,0.0938235018394703,0.04231022993604899,0.2202322463404588,1.1023841607553115,0.3665077218788723,1.059725055636199,0.4191363110906416,2.146142990247061,0.285208983863291,0.050970117573663966,0.2846302323794745,0.17110325182209601,0.4365570206726811,0.2802898040601006,0.08126323079308787,0.2733043695471403,0.11816399902265398,0.46663674620750517,3.6739130434782608,1.6817996032470817,4.0,0,8,8.173913043478262,1.9371016878213447,8.0,4,14,0.15973534971644612,0.0731217218803079,0.17391304347826086,0.0,0.34782608695652173,0.35538752362948955,0.08422181251397151,0.34782608695652173,0.17391304347826086,0.6086956521739131,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home62,172,0.0694709230870356,0.027099587810449695,0.06455705213308503,0.0187790792656952,0.14704902821099775,0.20085916100855367,0.07845466294194595,0.1822827393108001,0.03608893391626822,0.4730219537662487,0.0515022692542718,0.01944457044908035,0.0476132224516634,0.01154117557296769,0.11443885476602782,0.654216520650601,0.24585914270421153,0.606622271470554,0.28120507315322835,1.5820003872863309,0.214486053524148,0.07483086664944247,0.19441104556685174,0.09417905138501399,0.4646461719844421,0.17390134688458384,0.06558958950050525,0.16557242303198094,0.07279173434002954,0.37535362145730367,2.1802325581395348,2.341998737286507,1.0,0,11,5.6686046511627906,3.22608415625417,5.0,0,13,0.09479271991911022,0.10182603205593511,0.043478260869565216,0.0,0.4782608695652174,0.2464610717896866,0.14026452853279,0.21739130434782608,0.0,0.5652173913043478,0.05232558139534884,0.24741770733666527,0.0,0,2,0.0010430357695964585,0.005457243353589538,0.0,0.0,0.05112284409521961,0.002180232558139535,0.010309071139027718,0.0,0.0,0.08333333333333333,0.0010295061076312328,0.005334574126786878,0.0,0.0,0.04879574223720079
ideal,home110,172,0.2793855110956707,0.08243915804092236,0.30371786182875854,0.08225603023261431,0.46813797397839746,1.6997239823913206,0.7842550551675906,1.9612391009969603,0.3259394169683888,3.32789349366093,0.4005791133896559,0.1791180477280199,0.45441030416380906,0.07002166595041322,0.776108489818321,2.2766300824620287,1.0622028767359275,2.40771356740803,0.3964030128644934,4.5486010035874145,0.3726731124727175,0.10176931804082331,0.3767102891878738,0.16381415856623627,0.61947291170827,0.5159357678163363,0.22988337953745727,0.5386536235174068,0.09691462689498723,1.031981537804573,4.465116279069767,1.868948681084018,4.0,0,10,7.941860465116279,1.9757521450499682,8.0,2,12,0.19413549039433772,0.08125863830800077,0.17391304347826086,0.0,0.43478260869565216,0.34529828109201216,0.08590226717608558,0.34782608695652173,0.08695652173913043,0.5217391304347826,0.05813953488372093,0.27931191045265846,0.0,0,2,0.0010910915574659902,0.005853279292642577,0.0,0.0,0.055660571292658584,0.0024224806201550387,0.01163799626886077,0.0,0.0,0.08333333333333333,0.0010432380040395505,0.005720241113873093,0.0,0.0,0.055660571292658584
ideal,home109,172,0.22503955294806,0.05187340458737037,0.22020608671986636,0.12716567833903894,0.4147854662499258,0.8086832605809742,0.2985283814515257,0.7584437139833794,0.3174140556171823,1.9136002034310977,0.20611302314802746,0.06903120143913409,0.2025280634951574,0.08943770296777025,0.4406592048918292,0.7787338760511383,0.2535400510636925,0.7588385621718294,0.24283073652321704,1.6498482600809559,0.22660419007295238,0.04632346321097732,0.2254476929179656,0.08994648276083005,0.38260150341499155,0.20009267207543527,0.05691561265847865,0.1960964571426577,0.07143200653971406,0.37312313462584573,2.4767441860465116,1.597430670956555,2.0,0,8,6.034883720930233,2.2279810154226696,6.0,0,14,0.1076845298281092,0.06945350743289369,0.08695652173913043,0.0,0.34782608695652173,0.26238624873609706,0.09686873980098563,0.2608695652173913,0.0,0.6086956521739131,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home137,172,0.1236166831789373,0.031690208777387506,0.12047924437198525,0.05665516504245594,0.2681702062987353,0.45136773885904785,0.1831293112264545,0.39670153866509966,0.1600506626202549,1.2710529219281699,0.10961297028449235,0.03632656859105627,0.10289440348806347,0.03992842463612843,0.24561000516920994,0.8268174129884831,0.27117254571339794,0.7631039391220455,0.348206936791441,1.7682983083419033,0.23978350562686054,0.051999730469715844,0.23376196581197442,0.11820582733268399,0.4620064918404964,0.21186743921442297,0.06094491695661521,0.20267413671859988,0.09922884247710609,0.4562204775687951,2.755813953488372,1.5732949169241137,3.0,0,7,6.651162790697675,2.1928395197883725,7.0,2,13,0.11981799797775532,0.06840412682278754,0.13043478260869565,0.0,0.30434782608695654,0.2891809908998989,0.09534084868645099,0.30434782608695654,0.08695652173913043,0.5652173913043478,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home144,130,0.14738738637199383,0.049133485359296736,0.13893365040811229,0.06913967230854946,0.3048123967993332,0.4350483325009356,0.14997038148837039,0.4182563099119962,0.1982431362649093,0.9861029944633559,0.11581500497071938,0.036375666543231405,0.11582147102491382,0.048601255506011375,0.2257334858631047,0.44564559554627875,0.12672086444978425,0.417163153836404,0.18278547048490443,0.8497451683839401,0.14906512778043246,0.04157042482424708,0.1379980697236578,0.08117257691436693,0.27344003546896944,0.11940802531183388,0.031521008980279486,0.11576829234928522,0.05795156351026693,0.20332454551270523,0.5,0.9135728677097327,0.0,0,4,3.0692307692307694,2.311138452526279,3.0,0,12,0.021739130434782608,0.03972055946564055,0.0,0.0,0.17391304347826086,0.1334448160535117,0.10048428054462082,0.13043478260869565,0.0,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home128,172,0.04016057360793576,0.037096648503477055,0.03184205097017719,0.01496969744490701,0.3213581188596267,0.13574112924889048,0.15059601143479975,0.10453103623096432,0.031419975954321666,1.3036490209820522,0.03442456291368171,0.03926623585101076,0.026077798511582935,0.008877542298480298,0.34133656522623435,0.5498307356398923,0.3790617666047888,0.4751306762682267,0.10347106817658236,3.2344753952061893,0.16146020124060192,0.09286360348816812,0.14209905111189752,0.05435238072862488,0.7816351405641566,0.1380794047066799,0.09351790145033775,0.1184032299405341,0.03132874308844793,0.8368120804201509,1.063953488372093,1.8774929344119782,0.0,0,11,3.046511627906977,2.972380522543341,2.0,0,14,0.046258847320525785,0.08163012758312949,0.0,0.0,0.4782608695652174,0.13245702730030331,0.12923393576275397,0.08695652173913043,0.0,0.6086956521739131,0.0755813953488372,0.4942544412315612,0.0,0,5,0.006410017472591274,0.055484491762881546,0.0,0.0,0.5891982096978818,0.0031492248062015503,0.020593935051315047,0.0,0.0,0.20833333333333334,0.002977025034793736,0.024175154145503957,0.0,0.0,0.24232418496415217
ideal,home61,172,0.06895951655726065,0.02185789193112218,0.0644234865997111,0.024608419121461392,0.12835599588155341,0.26745320719738536,0.11147455375209737,0.2518308592239052,0.06743957328298547,0.5819950228285744,0.06595990382231091,0.02398612984822669,0.06338973765408804,0.01900472293203906,0.1305252619636831,0.8462024566965014,0.2790659647227534,0.8145820637512704,0.3619522488895966,2.145210899548271,0.23878598061881295,0.0496148767314604,0.23993025729022713,0.10656793441852994,0.35900133202229495,0.21660158030243537,0.058986995896250775,0.20731529947182892,0.10682889418614235,0.4312140608131102,2.796511627906977,1.7418880210196548,3.0,0,9,6.837209302325581,2.304497448702484,7.0,1,12,0.12158746208291202,0.07573426178346325,0.13043478260869565,0.0,0.391304347826087,0.2972699696663297,0.10019554124793409,0.30434782608695654,0.043478260869565216,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ideal,home224,61,0.12374045803764007,0.034875975200792726,0.119861756945205,0.05902437987583682,0.20432681951134296,0.4004358326584844,0.12086898913273784,0.3852087447451765,0.16118678585459567,0.7293793248652013,0.10542875243202171,0.030059480721527945,0.10270870171603257,0.04545765592523202,0.17797794702542857,0.7718381696209892,0.19358182482468037,0.7742845114343109,0.3232036442124828,1.5716416430073974,0.24360359995748432,0.046109020426347215,0.2470093305778169,0.13769110892132377,0.38507037212370643,0.203371837106129,0.056696093936651815,0.20051448783417133,0.10195919996501203,0.48619975966805973,2.737704918032787,1.6386883933901377,3.0,0,6,7.442622950819672,2.236248249833434,7.0,2,12,0.11903064861012118,0.07124732145174512,0.13043478260869565,0.0,0.2608695652173913,0.32359230220955093,0.09722818477536668,0.30434782608695654,0.08695652173913043,0.5217391304347826,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
