dataset,building_id,building_type,metric,metric_type,value
sceaux,Sceaux,residential,nmae_7,hour_of_day,0.6068976521492004
sceaux,Sceaux,residential,nmae_8,hour_of_day,0.5578757524490356
sceaux,Sceaux,residential,nmae_9,hour_of_day,0.5063022375106812
sceaux,Sceaux,residential,nmae_10,hour_of_day,0.5535242557525635
sceaux,Sceaux,residential,nmae_11,hour_of_day,0.6434301733970642
sceaux,Sceaux,residential,nmae_12,hour_of_day,0.6728007793426514
sceaux,Sceaux,residential,nmae_13,hour_of_day,0.6798496246337891
sceaux,Sceaux,residential,nmae_14,hour_of_day,0.6454580426216125
sceaux,Sceaux,residential,nmae_15,hour_of_day,0.5488358736038208
sceaux,Sceaux,residential,nmae_16,hour_of_day,0.5791574716567993
sceaux,Sceaux,residential,nmae_17,hour_of_day,0.5739821791648865
sceaux,Sceaux,residential,nmae_18,hour_of_day,0.5997346639633179
sceaux,Sceaux,residential,nmae_19,hour_of_day,0.6926301121711731
sceaux,Sceaux,residential,nmae_20,hour_of_day,0.7115297317504883
sceaux,Sceaux,residential,nmae_21,hour_of_day,0.7530021071434021
sceaux,Sceaux,residential,nmae_22,hour_of_day,0.7454008460044861
sceaux,Sceaux,residential,nmae_23,hour_of_day,0.5765016078948975
borealis,home23,residential,cvrmse_0,hour_of_day,0.9714745879173279
borealis,home23,residential,cvrmse_1,hour_of_day,0.8701191544532776
borealis,home23,residential,cvrmse_2,hour_of_day,1.1081472635269165
borealis,home23,residential,cvrmse_3,hour_of_day,1.3005777597427368
borealis,home23,residential,cvrmse_4,hour_of_day,1.0181589126586914
borealis,home23,residential,cvrmse_5,hour_of_day,0.8387420773506165
borealis,home23,residential,cvrmse_6,hour_of_day,0.6143327355384827
borealis,home23,residential,cvrmse_7,hour_of_day,0.6240107417106628
borealis,home23,residential,cvrmse_8,hour_of_day,0.5739993453025818
borealis,home23,residential,cvrmse_9,hour_of_day,0.5366702675819397
borealis,home23,residential,cvrmse_10,hour_of_day,0.5080212354660034
borealis,home23,residential,cvrmse_11,hour_of_day,0.526486873626709
borealis,home23,residential,cvrmse_12,hour_of_day,0.5135768055915833
borealis,home23,residential,cvrmse_13,hour_of_day,0.5956013202667236
borealis,home23,residential,cvrmse_14,hour_of_day,0.7996513247489929
borealis,home23,residential,cvrmse_15,hour_of_day,0.6332337856292725
borealis,home23,residential,cvrmse_16,hour_of_day,0.5704612135887146
borealis,home23,residential,cvrmse_17,hour_of_day,0.49370285868644714
borealis,home23,residential,cvrmse_18,hour_of_day,0.4956432580947876
borealis,home23,residential,cvrmse_19,hour_of_day,0.6135094165802002
borealis,home23,residential,cvrmse_20,hour_of_day,0.6359536051750183
borealis,home23,residential,cvrmse_21,hour_of_day,0.6191840171813965
borealis,home23,residential,cvrmse_22,hour_of_day,0.8533492088317871
borealis,home23,residential,cvrmse_23,hour_of_day,1.4611762762069702
borealis,home23,residential,nmbe_0,hour_of_day,0.1344207376241684
borealis,home23,residential,nmbe_1,hour_of_day,-0.1562199890613556
borealis,home23,residential,nmbe_2,hour_of_day,-0.07339408993721008
borealis,home23,residential,nmbe_3,hour_of_day,-0.23188656568527222
borealis,home23,residential,nmbe_4,hour_of_day,-0.49477365612983704
borealis,home23,residential,nmbe_5,hour_of_day,-0.21848896145820618
borealis,home23,residential,nmbe_6,hour_of_day,-0.17363493144512177
borealis,home23,residential,nmbe_7,hour_of_day,-0.20680996775627136
borealis,home23,residential,nmbe_8,hour_of_day,-0.16461145877838135
borealis,home23,residential,nmbe_9,hour_of_day,-0.11806125193834305
borealis,home23,residential,nmbe_10,hour_of_day,-0.14161401987075806
borealis,home23,residential,nmbe_11,hour_of_day,-0.14411504566669464
borealis,home23,residential,nmbe_12,hour_of_day,-0.10489720106124878
borealis,home23,residential,nmbe_13,hour_of_day,-0.11969827860593796
borealis,home23,residential,nmbe_14,hour_of_day,-0.00716139143332839
borealis,home23,residential,nmbe_15,hour_of_day,-0.0767095610499382
borealis,home23,residential,nmbe_16,hour_of_day,-0.1293233335018158
borealis,home23,residential,nmbe_17,hour_of_day,-0.14203909039497375
borealis,home23,residential,nmbe_18,hour_of_day,-0.1323603391647339
borealis,home23,residential,nmbe_19,hour_of_day,-0.20815905928611755
borealis,home23,residential,nmbe_20,hour_of_day,-0.1566944271326065
borealis,home23,residential,nmbe_21,hour_of_day,-0.30457818508148193
borealis,home23,residential,nmbe_22,hour_of_day,-0.2883028984069824
borealis,home23,residential,nmbe_23,hour_of_day,0.004567102529108524
borealis,home23,residential,nmae_0,hour_of_day,0.6048747897148132
borealis,home23,residential,nmae_1,hour_of_day,0.5997015237808228
borealis,home23,residential,nmae_2,hour_of_day,0.6814276576042175
borealis,home23,residential,nmae_3,hour_of_day,0.7228004932403564
borealis,home23,residential,nmae_4,hour_of_day,0.6132258772850037
borealis,home23,residential,nmae_5,hour_of_day,0.48905426263809204
borealis,home23,residential,nmae_6,hour_of_day,0.3071059584617615
borealis,home23,residential,nmae_7,hour_of_day,0.2570609152317047
borealis,home23,residential,nmae_8,hour_of_day,0.2393336296081543
borealis,home23,residential,nmae_9,hour_of_day,0.2547087073326111
borealis,home23,residential,nmae_10,hour_of_day,0.2248712033033371
borealis,home23,residential,nmae_11,hour_of_day,0.24838535487651825
borealis,home23,residential,nmae_12,hour_of_day,0.29386162757873535
borealis,home23,residential,nmae_13,hour_of_day,0.34433653950691223
borealis,home23,residential,nmae_14,hour_of_day,0.5420611500740051
borealis,home23,residential,nmae_15,hour_of_day,0.4197385907173157
borealis,home23,residential,nmae_16,hour_of_day,0.35454708337783813
borealis,home23,residential,nmae_17,hour_of_day,0.3066129684448242
borealis,home23,residential,nmae_18,hour_of_day,0.3210342824459076
borealis,home23,residential,nmae_19,hour_of_day,0.38810569047927856
borealis,home23,residential,nmae_20,hour_of_day,0.4150698184967041
borealis,home23,residential,nmae_21,hour_of_day,0.4604990780353546
borealis,home23,residential,nmae_22,hour_of_day,0.665503978729248
borealis,home23,residential,nmae_23,hour_of_day,0.8840172290802002
borealis,home21,residential,cvrmse_0,hour_of_day,0.3573475182056427
borealis,home21,residential,cvrmse_1,hour_of_day,0.4010852575302124
borealis,home21,residential,cvrmse_2,hour_of_day,0.39748328924179077
borealis,home21,residential,cvrmse_3,hour_of_day,0.3333762586116791
borealis,home21,residential,cvrmse_4,hour_of_day,0.2338460385799408
borealis,home21,residential,cvrmse_5,hour_of_day,0.1930982917547226
borealis,home21,residential,cvrmse_6,hour_of_day,0.2889365255832672
borealis,home21,residential,cvrmse_7,hour_of_day,0.21857208013534546
borealis,home21,residential,cvrmse_8,hour_of_day,0.3439720869064331
borealis,home21,residential,cvrmse_9,hour_of_day,0.28310203552246094
borealis,home21,residential,cvrmse_10,hour_of_day,0.6633058786392212
borealis,home21,residential,cvrmse_11,hour_of_day,0.6280868649482727
borealis,home21,residential,cvrmse_12,hour_of_day,0.3732577860355377
borealis,home21,residential,cvrmse_13,hour_of_day,0.7019648551940918
borealis,home21,residential,cvrmse_14,hour_of_day,0.6471452713012695
borealis,home21,residential,cvrmse_15,hour_of_day,1.1060023307800293
borealis,home21,residential,cvrmse_16,hour_of_day,0.8343899846076965
borealis,home21,residential,cvrmse_17,hour_of_day,0.5324752926826477
borealis,home21,residential,cvrmse_18,hour_of_day,0.5029540061950684
borealis,home21,residential,cvrmse_19,hour_of_day,0.6656052470207214
borealis,home21,residential,cvrmse_20,hour_of_day,1.0022116899490356
borealis,home21,residential,cvrmse_21,hour_of_day,0.9622753858566284
borealis,home21,residential,cvrmse_22,hour_of_day,0.6707065105438232
borealis,home21,residential,cvrmse_23,hour_of_day,0.535289466381073
borealis,home21,residential,nmbe_0,hour_of_day,-0.07040661573410034
borealis,home21,residential,nmbe_1,hour_of_day,-0.07195084542036057
borealis,home21,residential,nmbe_2,hour_of_day,-0.10733699053525925
borealis,home21,residential,nmbe_3,hour_of_day,-0.10993439704179764
borealis,home21,residential,nmbe_4,hour_of_day,-0.06225284934043884
borealis,home21,residential,nmbe_5,hour_of_day,-0.03969428315758705
borealis,home21,residential,nmbe_6,hour_of_day,-0.21279765665531158
borealis,home21,residential,nmbe_7,hour_of_day,0.00921410508453846
borealis,home21,residential,nmbe_8,hour_of_day,0.14637517929077148
borealis,home21,residential,nmbe_9,hour_of_day,0.011969839222729206
borealis,home21,residential,nmbe_10,hour_of_day,0.128184974193573
borealis,home21,residential,nmbe_11,hour_of_day,0.23136000335216522
borealis,home21,residential,nmbe_12,hour_of_day,0.08444027602672577
borealis,home21,residential,nmbe_13,hour_of_day,0.06223412975668907
borealis,home21,residential,nmbe_14,hour_of_day,0.1232186108827591
borealis,home21,residential,nmbe_15,hour_of_day,0.23576974868774414
borealis,home21,residential,nmbe_16,hour_of_day,0.045095790177583694
borealis,home21,residential,nmbe_17,hour_of_day,-0.1200435608625412
borealis,home21,residential,nmbe_18,hour_of_day,-0.0844137966632843
borealis,home21,residential,nmbe_19,hour_of_day,-0.1499936729669571
borealis,home21,residential,nmbe_20,hour_of_day,0.04418744891881943
borealis,home21,residential,nmbe_21,hour_of_day,0.3897637724876404
borealis,home21,residential,nmbe_22,hour_of_day,0.20925398170948029
borealis,home21,residential,nmbe_23,hour_of_day,0.07206634432077408
borealis,home21,residential,nmae_0,hour_of_day,0.25723880529403687
borealis,home21,residential,nmae_1,hour_of_day,0.3152061998844147
borealis,home21,residential,nmae_2,hour_of_day,0.3232886493206024
borealis,home21,residential,nmae_3,hour_of_day,0.2564304769039154
borealis,home21,residential,nmae_4,hour_of_day,0.18524207174777985
borealis,home21,residential,nmae_5,hour_of_day,0.1515377163887024
borealis,home21,residential,nmae_6,hour_of_day,0.24357099831104279
borealis,home21,residential,nmae_7,hour_of_day,0.16532307863235474
borealis,home21,residential,nmae_8,hour_of_day,0.21784573793411255
borealis,home21,residential,nmae_9,hour_of_day,0.17718912661075592
borealis,home21,residential,nmae_10,hour_of_day,0.33905428647994995
borealis,home21,residential,nmae_11,hour_of_day,0.36419185996055603
borealis,home21,residential,nmae_12,hour_of_day,0.23590169847011566
borealis,home21,residential,nmae_13,hour_of_day,0.30965590476989746
borealis,home21,residential,nmae_14,hour_of_day,0.4072098433971405
borealis,home21,residential,nmae_15,hour_of_day,0.5922037363052368
borealis,home21,residential,nmae_16,hour_of_day,0.4663017690181732
borealis,home21,residential,nmae_17,hour_of_day,0.37003302574157715
borealis,home21,residential,nmae_18,hour_of_day,0.34957370162010193
borealis,home21,residential,nmae_19,hour_of_day,0.4375198781490326
borealis,home21,residential,nmae_20,hour_of_day,0.6163344383239746
borealis,home21,residential,nmae_21,hour_of_day,0.7318747043609619
borealis,home21,residential,nmae_22,hour_of_day,0.5283685326576233
borealis,home21,residential,nmae_23,hour_of_day,0.43167489767074585
ideal,home65,residential,cvrmse_0,hour_of_day,0.5583384037017822
ideal,home65,residential,cvrmse_1,hour_of_day,1.0115455389022827
ideal,home65,residential,cvrmse_2,hour_of_day,1.3339000940322876
ideal,home65,residential,cvrmse_3,hour_of_day,1.5130269527435303
ideal,home65,residential,cvrmse_4,hour_of_day,1.3461670875549316
ideal,home65,residential,cvrmse_5,hour_of_day,1.0849061012268066
ideal,home65,residential,cvrmse_6,hour_of_day,0.9417341351509094
ideal,home65,residential,cvrmse_7,hour_of_day,1.232796311378479
ideal,home65,residential,cvrmse_8,hour_of_day,0.9644404053688049
ideal,home65,residential,cvrmse_9,hour_of_day,0.4980514645576477
ideal,home65,residential,cvrmse_10,hour_of_day,0.16785173118114471
ideal,home65,residential,cvrmse_11,hour_of_day,0.1587597131729126
ideal,home65,residential,cvrmse_12,hour_of_day,0.31095096468925476
ideal,home65,residential,cvrmse_13,hour_of_day,0.5310145020484924
ideal,home65,residential,cvrmse_14,hour_of_day,0.9121025204658508
ideal,home65,residential,cvrmse_15,hour_of_day,1.2798317670822144
ideal,home65,residential,cvrmse_16,hour_of_day,1.0896283388137817
ideal,home65,residential,cvrmse_17,hour_of_day,0.8891420364379883
ideal,home65,residential,cvrmse_18,hour_of_day,0.5977885723114014
ideal,home65,residential,cvrmse_19,hour_of_day,0.6325492858886719
ideal,home65,residential,cvrmse_20,hour_of_day,0.6470966339111328
ideal,home65,residential,cvrmse_21,hour_of_day,0.6893382668495178
ideal,home65,residential,cvrmse_22,hour_of_day,0.7000159025192261
ideal,home65,residential,cvrmse_23,hour_of_day,0.7669427990913391
ideal,home65,residential,nmbe_0,hour_of_day,-0.18639275431632996
ideal,home65,residential,nmbe_1,hour_of_day,-0.5362151861190796
ideal,home65,residential,nmbe_2,hour_of_day,-0.7932400703430176
ideal,home65,residential,nmbe_3,hour_of_day,-0.5785662531852722
ideal,home65,residential,nmbe_4,hour_of_day,-0.20818880200386047
ideal,home65,residential,nmbe_5,hour_of_day,-0.19250266253948212
ideal,home65,residential,nmbe_6,hour_of_day,0.03251461312174797
ideal,home65,residential,nmbe_7,hour_of_day,0.2131861001253128
ideal,home65,residential,nmbe_8,hour_of_day,-0.593834638595581
ideal,home65,residential,nmbe_9,hour_of_day,-0.3634340465068817
ideal,home65,residential,nmbe_10,hour_of_day,-0.029697038233280182
ideal,home65,residential,nmbe_11,hour_of_day,0.07015401870012283
ideal,home65,residential,nmbe_12,hour_of_day,0.09644604474306107
ideal,home65,residential,nmbe_13,hour_of_day,0.07548030465841293
ideal,home65,residential,nmbe_14,hour_of_day,0.08231309801340103
ideal,home65,residential,nmbe_15,hour_of_day,0.6071075797080994
ideal,home65,residential,nmbe_16,hour_of_day,0.3624905049800873
ideal,home65,residential,nmbe_17,hour_of_day,0.03072531707584858
ideal,home65,residential,nmbe_18,hour_of_day,0.08054859191179276
ideal,home65,residential,nmbe_19,hour_of_day,0.0015813680365681648
ideal,home65,residential,nmbe_20,hour_of_day,-0.13101539015769958
ideal,home65,residential,nmbe_21,hour_of_day,-0.3078209459781647
ideal,home65,residential,nmbe_22,hour_of_day,-0.4085403382778168
ideal,home65,residential,nmbe_23,hour_of_day,-0.4482819139957428
ideal,home65,residential,nmae_0,hour_of_day,0.36331629753112793
ideal,home65,residential,nmae_1,hour_of_day,0.8133237361907959
ideal,home65,residential,nmae_2,hour_of_day,1.1459802389144897
ideal,home65,residential,nmae_3,hour_of_day,1.3502880334854126
ideal,home65,residential,nmae_4,hour_of_day,1.1009345054626465
ideal,home65,residential,nmae_5,hour_of_day,0.8791458606719971
ideal,home65,residential,nmae_6,hour_of_day,0.7315028309822083
ideal,home65,residential,nmae_7,hour_of_day,0.9436053037643433
ideal,home65,residential,nmae_8,hour_of_day,0.8272358179092407
ideal,home65,residential,nmae_9,hour_of_day,0.42776939272880554
ideal,home65,residential,nmae_10,hour_of_day,0.12346616387367249
ideal,home65,residential,nmae_11,hour_of_day,0.11884048581123352
ideal,home65,residential,nmae_12,hour_of_day,0.14184172451496124
ideal,home65,residential,nmae_13,hour_of_day,0.1694142073392868
ideal,home65,residential,nmae_14,hour_of_day,0.3481487035751343
ideal,home65,residential,nmae_15,hour_of_day,0.9146466255187988
ideal,home65,residential,nmae_16,hour_of_day,0.6899030208587646
ideal,home65,residential,nmae_17,hour_of_day,0.4342252016067505
ideal,home65,residential,nmae_18,hour_of_day,0.3090151250362396
ideal,home65,residential,nmae_19,hour_of_day,0.3804716169834137
ideal,home65,residential,nmae_20,hour_of_day,0.43778789043426514
ideal,home65,residential,nmae_21,hour_of_day,0.5564556121826172
ideal,home65,residential,nmae_22,hour_of_day,0.5743681788444519
ideal,home65,residential,nmae_23,hour_of_day,0.6425539255142212
ideal,home242,residential,cvrmse_0,hour_of_day,0.7316389083862305
ideal,home242,residential,cvrmse_1,hour_of_day,0.764007031917572
ideal,home242,residential,cvrmse_2,hour_of_day,0.49665367603302
ideal,home242,residential,cvrmse_3,hour_of_day,0.5248458981513977
ideal,home242,residential,cvrmse_4,hour_of_day,0.6998629570007324
ideal,home242,residential,cvrmse_5,hour_of_day,0.5620793104171753
ideal,home242,residential,cvrmse_6,hour_of_day,0.8858819007873535
ideal,home242,residential,cvrmse_7,hour_of_day,1.5076298713684082
ideal,home242,residential,cvrmse_8,hour_of_day,1.019239902496338
ideal,home242,residential,cvrmse_9,hour_of_day,0.6809556484222412
ideal,home242,residential,cvrmse_10,hour_of_day,0.4022636413574219
ideal,home242,residential,cvrmse_11,hour_of_day,0.6839795708656311
ideal,home242,residential,cvrmse_12,hour_of_day,0.8902565836906433
ideal,home242,residential,cvrmse_13,hour_of_day,0.7068976759910583
ideal,home242,residential,cvrmse_14,hour_of_day,0.3922908902168274
ideal,home242,residential,cvrmse_15,hour_of_day,0.39485636353492737
ideal,home242,residential,cvrmse_16,hour_of_day,0.39162254333496094
ideal,home242,residential,cvrmse_17,hour_of_day,0.342894047498703
ideal,home242,residential,cvrmse_18,hour_of_day,0.3656589686870575
ideal,home242,residential,cvrmse_19,hour_of_day,0.371045857667923
ideal,home242,residential,cvrmse_20,hour_of_day,0.39483919739723206
ideal,home242,residential,cvrmse_21,hour_of_day,0.7245161533355713
ideal,home242,residential,cvrmse_22,hour_of_day,1.0160691738128662
ideal,home242,residential,cvrmse_23,hour_of_day,0.6608066558837891
ideal,home242,residential,nmbe_0,hour_of_day,0.12735532224178314
ideal,home242,residential,nmbe_1,hour_of_day,0.14964832365512848
ideal,home242,residential,nmbe_2,hour_of_day,-0.16482208669185638
ideal,home242,residential,nmbe_3,hour_of_day,-0.26334720849990845
ideal,home242,residential,nmbe_4,hour_of_day,-0.11243164539337158
ideal,home242,residential,nmbe_5,hour_of_day,-0.1625036597251892
ideal,home242,residential,nmbe_6,hour_of_day,-0.475986510515213
ideal,home242,residential,nmbe_7,hour_of_day,0.038690563291311264
ideal,home242,residential,nmbe_8,hour_of_day,-0.67304927110672
ideal,home242,residential,nmbe_9,hour_of_day,-0.11996561288833618
ideal,home242,residential,nmbe_10,hour_of_day,0.10713609308004379
ideal,home242,residential,nmbe_11,hour_of_day,-0.014063465408980846
ideal,home242,residential,nmbe_12,hour_of_day,0.11516454070806503
ideal,home242,residential,nmbe_13,hour_of_day,-0.1375655233860016
ideal,home242,residential,nmbe_14,hour_of_day,-0.26466915011405945
ideal,home242,residential,nmbe_15,hour_of_day,-0.23441635072231293
ideal,home242,residential,nmbe_16,hour_of_day,-0.2194126844406128
ideal,home242,residential,nmbe_17,hour_of_day,-0.14413738250732422
ideal,home242,residential,nmbe_18,hour_of_day,-0.20005109906196594
ideal,home242,residential,nmbe_19,hour_of_day,0.01775297150015831
ideal,home242,residential,nmbe_20,hour_of_day,-0.06798599660396576
ideal,home242,residential,nmbe_21,hour_of_day,0.09814124554395676
ideal,home242,residential,nmbe_22,hour_of_day,0.31363728642463684
ideal,home242,residential,nmbe_23,hour_of_day,0.04533892124891281
ideal,home242,residential,nmae_0,hour_of_day,0.4602927565574646
ideal,home242,residential,nmae_1,hour_of_day,0.5394765734672546
ideal,home242,residential,nmae_2,hour_of_day,0.39273548126220703
ideal,home242,residential,nmae_3,hour_of_day,0.4151487648487091
ideal,home242,residential,nmae_4,hour_of_day,0.49333974719047546
ideal,home242,residential,nmae_5,hour_of_day,0.42458397150039673
ideal,home242,residential,nmae_6,hour_of_day,0.7323434948921204
ideal,home242,residential,nmae_7,hour_of_day,1.179521083831787
ideal,home242,residential,nmae_8,hour_of_day,0.8795572519302368
ideal,home242,residential,nmae_9,hour_of_day,0.479607492685318
ideal,home242,residential,nmae_10,hour_of_day,0.3285914957523346
ideal,home242,residential,nmae_11,hour_of_day,0.41696953773498535
ideal,home242,residential,nmae_12,hour_of_day,0.6911225318908691
ideal,home242,residential,nmae_13,hour_of_day,0.5777494311332703
ideal,home242,residential,nmae_14,hour_of_day,0.3258361220359802
ideal,home242,residential,nmae_15,hour_of_day,0.2984262704849243
ideal,home242,residential,nmae_16,hour_of_day,0.28830766677856445
ideal,home242,residential,nmae_17,hour_of_day,0.22694090008735657
ideal,home242,residential,nmae_18,hour_of_day,0.25902435183525085
ideal,home242,residential,nmae_19,hour_of_day,0.2905348241329193
